episode_id,step,scenario,baseline_approval_rate,approval_drop,approval_slope,timeout_rate,timeout_slope,error_rate,p95_latency_ms,latency_slope,attempts,will_fail
0,0,gradual_failure,0.9038878439752052,0.0,0.0,0.01990425998773544,0.0,0.008128195601024846,566.6652144829308,0.0,145,0
0,1,gradual_failure,0.9038878439752052,0.015467264331898267,0.0,0.025384206999144086,0.0,0.0,722.4996950822075,0.0,122,0
0,2,gradual_failure,0.9038878439752052,0.007709900798935965,-0.005005514027973557,0.019617132322578258,-0.00014356383257859047,0.01361929903160122,676.32913375732,54.83195963719464,114,0
0,3,gradual_failure,0.9038878439752052,0.01464790910846181,0.0004096776117182288,0.02736203610708806,0.0009889145539719868,0.01958593010327665,633.1838967756142,-44.657899153296626,56,0
0,4,gradual_failure,0.9038878439752052,0.021081513066525615,-0.006685806133794825,0.026779434872925657,0.0035811512751736992,0.0016411101031807897,664.3336870405578,-5.9977233583811085,211,0
0,5,gradual_failure,0.9038878439752052,0.0,0.00793216617963094,0.02474715591600397,-0.0013074400955420448,0.014609089434453137,512.2951441775431,-60.44437629903558,76,0
0,6,gradual_failure,0.9038878439752052,0.015584960082478339,0.002748276492023638,0.030180427563215942,0.0017004963451451426,0.0,613.2995152658333,-25.51708588736227,158,0
0,7,gradual_failure,0.9038878439752052,0.008322332267962196,-0.004769377759381133,0.02929800777654133,0.002275425930268679,0.006383163927251584,528.62739886414,8.166127343298456,119,0
0,8,gradual_failure,0.9038878439752052,0.007690547634057632,0.003947206224210353,0.02370251825509781,-0.003238954654059066,0.0145521111157411,615.5979793897316,1.1492320619491352,197,0
0,9,gradual_failure,0.9038878439752052,0.02394618434772522,-0.007811926039881512,0.03538673261863905,0.003044362421048859,0.020041572885274257,851.1297522274903,161.25117668167513,177,0
0,10,gradual_failure,0.9038878439752052,0.1059838929652096,-0.049146672665575986,0.056443243370015383,0.016370362557458787,0.013704009510904492,1256.425724795145,320.4138727027067,80,0
0,11,gradual_failure,0.9038878439752052,0.11226624482443315,-0.044160030238353964,0.07142736247309396,0.018020314927227457,0.033066055917073456,1110.1633655632097,129.51680666785973,205,1
0,12,gradual_failure,0.9038878439752052,0.1161756310209523,-0.005095869027871347,0.09508738659881101,0.019322071614397814,0.07174533976622527,1643.613017890209,193.593646547532,164,1
0,13,gradual_failure,0.9038878439752052,0.09411594123471201,0.00907515179486057,0.06660253032496441,-0.0024124160740647757,0.1006525401462433,1357.4293360485055,123.63298524264792,88,1
1,0,normal,0.9552899395069745,0.011786178517729007,0.0,0.02144500584264951,0.0,0.009408943366458297,306.0626165169951,0.0,205,0
